epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,74.7195,1.32552,2.15189,1.07016,0.79772,1,0.94786,0.42863,1.7606,2.65135,2.01087,0.001307,0.001307,0.001307
44,76.1677,1.48872,2.17797,1.08468,0.79772,1,0.94786,0.42863,1.7606,2.65135,2.01087,0.0012905,0.0012905,0.0012905
45,77.5608,1.5096,2.35458,1.12333,1,0.82314,0.8414,0.40806,1.86345,2.58491,2.31415,0.001274,0.001274,0.001274
46,78.9674,1.40892,2.15225,1.09314,1,0.82314,0.8414,0.40806,1.86345,2.58491,2.31415,0.0012575,0.0012575,0.0012575
47,80.4513,1.41051,2.38891,1.07263,0.79538,0.66667,0.70264,0.2519,2.33788,2.83187,1.92001,0.001241,0.001241,0.001241
48,81.9815,1.42712,2.09114,1.07184,0.79538,0.66667,0.70264,0.2519,2.33788,2.83187,1.92001,0.0012245,0.0012245,0.0012245
49,83.4083,1.40255,1.96656,1.12691,0.94852,0.83333,0.84153,0.2837,2.14389,2.78719,1.71908,0.001208,0.001208,0.001208
50,84.8762,1.67172,2.049,1.12187,0.94852,0.83333,0.84153,0.2837,2.14389,2.78719,1.71908,0.0011915,0.0011915,0.0011915
51,86.3645,1.3118,2.08768,1.07709,0.89691,0.83333,0.84211,0.49727,1.40657,2.4428,1.4939,0.001175,0.001175,0.001175
52,87.7393,1.49987,2.07047,1.13876,0.89691,0.83333,0.84211,0.49727,1.40657,2.4428,1.4939,0.0011585,0.0011585,0.0011585
53,89.2133,1.60736,2.3354,1.09559,0.98736,1,0.995,0.40315,1.7069,2.57914,1.63714,0.001142,0.001142,0.001142
54,90.6953,1.50037,2.05803,1.07354,0.98736,1,0.995,0.40315,1.7069,2.57914,1.63714,0.0011255,0.0011255,0.0011255
55,92.1382,1.42454,2.36806,1.03451,0.97537,0.83333,0.85074,0.37401,1.63919,2.7373,1.62236,0.001109,0.001109,0.001109
56,93.5621,1.45005,1.88219,1.03501,0.97537,0.83333,0.85074,0.37401,1.63919,2.7373,1.62236,0.0010925,0.0010925,0.0010925
57,95.0355,1.47148,2.77032,1.13693,0.98062,1,0.995,0.48653,1.36854,2.35365,1.79631,0.001076,0.001076,0.001076
58,96.5473,1.33081,2.21133,1.1146,0.98062,1,0.995,0.48653,1.36854,2.35365,1.79631,0.0010595,0.0010595,0.0010595
59,98.038,1.26375,1.8697,0.99173,0.96764,1,0.995,0.44385,1.56735,2.19227,1.89832,0.001043,0.001043,0.001043
60,99.5214,1.25714,1.93509,1.05237,0.96764,1,0.995,0.44385,1.56735,2.19227,1.89832,0.0010265,0.0010265,0.0010265
61,101.002,1.19306,1.75529,1.04426,0.97461,1,0.995,0.59392,1.38724,1.89034,1.76332,0.00101,0.00101,0.00101
62,102.48,1.23313,1.91685,1.03552,0.97461,1,0.995,0.59392,1.38724,1.89034,1.76332,0.0009935,0.0009935,0.0009935
63,104.108,1.12775,2.04822,0.99959,0.96969,1,0.995,0.53025,1.65571,1.91871,1.81953,0.000977,0.000977,0.000977
64,105.6,1.4032,2.10167,1.13182,0.96969,1,0.995,0.53025,1.65571,1.91871,1.81953,0.0009605,0.0009605,0.0009605
65,107.068,1.2666,1.83322,1.05617,0.82007,0.83333,0.78309,0.48005,1.63148,1.70652,1.76253,0.000944,0.000944,0.000944
66,108.467,1.28965,1.85022,1.01916,0.82007,0.83333,0.78309,0.48005,1.63148,1.70652,1.76253,0.0009275,0.0009275,0.0009275
67,109.89,1.17168,1.95664,1.00414,0.7927,0.83333,0.80869,0.53974,1.53126,1.5776,1.77948,0.000911,0.000911,0.000911
68,111.377,1.16967,1.69327,1.07455,0.7927,0.83333,0.80869,0.53974,1.53126,1.5776,1.77948,0.0008945,0.0008945,0.0008945
69,112.85,1.18397,1.79644,1.00315,0.79028,0.83333,0.80735,0.60121,1.50318,1.50178,1.7014,0.000878,0.000878,0.000878
70,114.265,1.11383,1.81023,0.99927,0.79028,0.83333,0.80735,0.60121,1.50318,1.50178,1.7014,0.0008615,0.0008615,0.0008615
71,115.729,1.27476,1.57598,0.98225,0.98338,1,0.995,0.59768,1.51344,1.46929,1.65669,0.000845,0.000845,0.000845
72,117.189,1.17706,1.89322,1.02323,0.98338,1,0.995,0.59768,1.51344,1.46929,1.65669,0.0008285,0.0008285,0.0008285
73,118.596,1.07551,1.69804,1.01614,0.98583,1,0.995,0.49889,1.55432,1.41368,1.64093,0.000812,0.000812,0.000812
74,120.002,1.23439,1.70634,1.04573,0.98583,1,0.995,0.49889,1.55432,1.41368,1.64093,0.0007955,0.0007955,0.0007955
75,121.52,1.27323,1.97085,0.98527,0.98648,1,0.995,0.52154,1.55545,1.43509,1.66767,0.000779,0.000779,0.000779
76,122.915,1.27364,1.77681,0.97222,0.98648,1,0.995,0.52154,1.55545,1.43509,1.66767,0.0007625,0.0007625,0.0007625
77,124.356,1.30095,1.80456,1.03164,0.81792,0.83333,0.80946,0.53052,1.44826,1.44392,1.70658,0.000746,0.000746,0.000746
78,125.767,1.23803,1.43548,0.97077,0.81792,0.83333,0.80946,0.53052,1.44826,1.44392,1.70658,0.0007295,0.0007295,0.0007295
79,127.366,1.30027,1.56744,1.036,0.8288,0.83333,0.83852,0.55286,1.47112,1.56234,1.5658,0.000713,0.000713,0.000713
80,128.751,1.19798,1.4641,1.00397,0.8288,0.83333,0.83852,0.55286,1.47112,1.56234,1.5658,0.0006965,0.0006965,0.0006965
81,130.195,1.29143,1.59499,1.02771,0.82254,0.83333,0.83925,0.5549,1.49555,1.60679,1.6579,0.00068,0.00068,0.00068
82,131.705,1.25952,1.63955,1.02312,0.82254,0.83333,0.83925,0.5549,1.49555,1.60679,1.6579,0.0006635,0.0006635,0.0006635
83,133.216,1.13425,1.83387,1.04688,0.81745,0.83333,0.78426,0.4962,1.48122,1.42804,1.72052,0.000647,0.000647,0.000647
84,134.705,0.99225,1.50326,1.00579,0.81745,0.83333,0.78426,0.4962,1.48122,1.42804,1.72052,0.0006305,0.0006305,0.0006305
85,136.218,1.16493,1.8821,0.98866,0.98888,1,0.995,0.53243,1.4871,1.36495,1.7259,0.000614,0.000614,0.000614
