epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0976,1.96526,9.50081,1.45077,0,0,0,0,3.06341,4.04193,2.56576,4e-05,4e-05,4e-05
2,24.6415,2.72233,4.43658,2.05272,0,0,0,0,2.77168,4.00523,2.30699,9.9175e-05,9.9175e-05,9.9175e-05
3,26.1053,2.26019,4.17177,1.73024,0.00583,0.4375,0.00256,0.00051,1.90236,3.75398,1.7753,0.00015736,0.00015736,0.00015736
4,27.5641,1.69982,4.36477,1.50047,0.01083,0.8125,0.01215,0.00467,1.56242,3.53598,1.40464,0.000214555,0.000214555,0.000214555
5,29.0077,1.7451,3.27484,1.37783,0.01333,1,0.01838,0.00729,1.40727,3.38053,1.2039,0.00027076,0.00027076,0.00027076
6,30.4499,0.94881,8.42814,0.82923,0.01333,1,0.02826,0.01215,1.32912,3.22283,1.08833,0.000325975,0.000325975,0.000325975
7,31.9196,1.49977,2.30201,1.34156,0.01333,1,0.02535,0.01423,1.15232,3.20012,1.02893,0.0003802,0.0003802,0.0003802
8,33.4149,1.43183,2.24654,1.21338,0.01333,1,0.02608,0.01371,1.21045,3.1967,1.08395,0.000433435,0.000433435,0.000433435
9,34.8306,1.43081,1.73831,1.26214,0.01333,1,0.02433,0.01422,1.28701,3.09636,1.08392,0.00048568,0.00048568,0.00048568
10,36.2958,1.26446,2.02243,1.21472,0.01333,1,0.0244,0.01247,1.4238,3.00881,1.08847,0.000536935,0.000536935,0.000536935
11,37.7538,1.52635,1.61423,1.20094,0.01333,1,0.02442,0.0137,1.36636,2.94187,1.07421,0.0005872,0.0005872,0.0005872
12,39.3118,1.39707,1.73547,1.22062,0.01333,1,0.02564,0.01428,1.24789,2.94574,1.08068,0.000636475,0.000636475,0.000636475
13,40.7636,1.49338,1.54571,1.16654,0.01333,1,0.09672,0.05511,1.2758,2.85936,1.05688,0.00068476,0.00068476,0.00068476
14,42.205,1.27164,1.75785,1.0903,0.01333,1,0.28167,0.13542,1.37235,2.86841,1.09139,0.000732055,0.000732055,0.000732055
15,43.4248,1.55447,1.63741,1.15597,0.01333,1,0.28167,0.13542,1.37235,2.86841,1.09139,0.00077836,0.00077836,0.00077836
16,44.9318,1.52946,1.7672,1.218,0.01333,1,0.78396,0.37652,1.35652,2.74092,1.08235,0.000823675,0.000823675,0.000823675
17,46.3695,1.32617,1.42312,1.0783,0.01333,1,0.87353,0.5227,1.32241,2.58533,1.08505,0.000868,0.000868,0.000868
18,47.7896,1.3264,1.66226,1.13681,0.01333,1,0.87353,0.5227,1.32241,2.58533,1.08505,0.000911335,0.000911335,0.000911335
19,49.1597,1.30318,1.48624,1.07772,0.01333,1,0.8916,0.54849,1.29683,2.43783,1.05002,0.00095368,0.00095368,0.00095368
20,50.6108,1.41304,1.47547,1.09261,1,0.85426,0.91888,0.57733,1.33851,2.28,1.04879,0.000995035,0.000995035,0.000995035
21,52.0562,1.47754,1.61567,1.13925,1,0.85426,0.91888,0.57733,1.33851,2.28,1.04879,0.0010354,0.0010354,0.0010354
22,53.5501,1.39495,1.38087,1.06573,0.97798,0.6875,0.88062,0.44325,1.39742,2.31594,1.07804,0.00107478,0.00107478,0.00107478
23,54.8427,1.3619,1.71875,1.11828,0.97798,0.6875,0.88062,0.44325,1.39742,2.31594,1.07804,0.00111316,0.00111316,0.00111316
24,56.2463,1.57448,1.56527,1.16282,1,0.74126,0.94071,0.59745,1.29979,2.06855,1.01632,0.00115055,0.00115055,0.00115055
25,57.6494,1.65982,1.76846,1.19631,1,0.74126,0.94071,0.59745,1.29979,2.06855,1.01632,0.00118696,0.00118696,0.00118696
26,59.1216,1.50885,2.3955,1.2126,0.92091,0.8125,0.90925,0.4787,1.39094,2.2333,1.0697,0.00122237,0.00122237,0.00122237
27,60.5192,1.21845,1.48917,1.00854,0.92091,0.8125,0.90925,0.4787,1.39094,2.2333,1.0697,0.0012568,0.0012568,0.0012568
28,62.0135,1.52702,1.5938,1.14066,1,0.60944,0.94121,0.52424,1.30349,2.21702,1.04238,0.00129024,0.00129024,0.00129024
29,63.4391,1.31155,1.38432,1.01881,1,0.60944,0.94121,0.52424,1.30349,2.21702,1.04238,0.00132268,0.00132268,0.00132268
30,64.8132,1.15188,2.47709,1.01676,1,0.60944,0.94121,0.52424,1.30349,2.21702,1.04238,0.00135414,0.00135414,0.00135414
31,66.3649,1.29828,1.34695,1.08244,1,0.85623,0.95591,0.50831,1.4196,2.08903,1.07275,0.0013846,0.0013846,0.0013846
32,67.7979,1.40692,1.44448,1.17753,1,0.85623,0.95591,0.50831,1.4196,2.08903,1.07275,0.00141408,0.00141408,0.00141408
33,69.2357,1.30751,1.15945,1.02344,1,0.75049,0.96864,0.56085,1.37802,2.23662,1.14145,0.00144256,0.00144256,0.00144256
34,70.5768,1.36021,1.25859,1.15569,1,0.75049,0.96864,0.56085,1.37802,2.23662,1.14145,0.0014555,0.0014555,0.0014555
35,71.9476,1.27629,1.47895,1.14433,1,0.75049,0.96864,0.56085,1.37802,2.23662,1.14145,0.001439,0.001439,0.001439
36,73.3197,1.21541,1.13526,1.06803,1,0.79961,0.995,0.55379,1.36422,2.21152,1.15751,0.0014225,0.0014225,0.0014225
37,74.6674,1.23864,1.32516,1.04185,1,0.79961,0.995,0.55379,1.36422,2.21152,1.15751,0.001406,0.001406,0.001406
38,76.0717,1.35203,1.31021,1.18695,1,0.79961,0.995,0.55379,1.36422,2.21152,1.15751,0.0013895,0.0013895,0.0013895
39,77.401,1.31096,1.25072,1.04452,1,0.71742,0.995,0.58675,1.32581,2.22366,1.16893,0.001373,0.001373,0.001373
40,78.7888,1.2915,1.14228,1.08551,1,0.71742,0.995,0.58675,1.32581,2.22366,1.16893,0.0013565,0.0013565,0.0013565
41,80.2678,1.20237,1.18828,1.02521,1,0.85777,0.995,0.562,1.43068,2.00667,1.19492,0.00134,0.00134,0.00134
42,81.6506,1.53786,1.43329,1.22344,1,0.85777,0.995,0.562,1.43068,2.00667,1.19492,0.0013235,0.0013235,0.0013235
43,83.0125,1.11384,1.12604,1.0032,1,0.85777,0.995,0.562,1.43068,2.00667,1.19492,0.001307,0.001307,0.001307
44,84.479,1.39745,1.12613,1.07044,0.98818,1,0.995,0.53264,1.5239,1.34706,1.18426,0.0012905,0.0012905,0.0012905
45,85.8561,1.30029,1.29037,1.07706,0.98818,1,0.995,0.53264,1.5239,1.34706,1.18426,0.001274,0.001274,0.001274
46,87.2291,1.34281,1.53386,1.13146,0.98818,1,0.995,0.53264,1.5239,1.34706,1.18426,0.0012575,0.0012575,0.0012575
47,88.6988,1.16888,1.11154,1.05643,0.99328,1,0.995,0.53094,1.53866,1.12424,1.17058,0.001241,0.001241,0.001241
48,90.0902,1.13495,1.14735,1.03762,0.99328,1,0.995,0.53094,1.53866,1.12424,1.17058,0.0012245,0.0012245,0.0012245
49,91.4946,1.26772,1.1748,1.10409,0.99323,1,0.995,0.57325,1.43,1.10286,1.14686,0.001208,0.001208,0.001208
50,92.9358,1.25247,1.11278,1.08084,0.99323,1,0.995,0.57325,1.43,1.10286,1.14686,0.0011915,0.0011915,0.0011915
51,94.3283,1.40332,1.40401,1.11162,0.99323,1,0.995,0.57325,1.43,1.10286,1.14686,0.001175,0.001175,0.001175
52,95.6871,1.1687,1.18023,1.06202,0.99125,1,0.995,0.64155,1.37621,1.08163,1.15537,0.0011585,0.0011585,0.0011585
53,97.0932,1.16677,1.38629,1.0179,0.99125,1,0.995,0.64155,1.37621,1.08163,1.15537,0.001142,0.001142,0.001142
54,98.5513,1.12685,1.09621,1.00781,0.99125,1,0.995,0.64155,1.37621,1.08163,1.15537,0.0011255,0.0011255,0.0011255
55,100.002,1.17976,1.20617,1.06465,0.99001,1,0.995,0.61378,1.37796,0.99026,1.1478,0.001109,0.001109,0.001109
56,101.339,1.2552,1.07502,1.03301,0.99001,1,0.995,0.61378,1.37796,0.99026,1.1478,0.0010925,0.0010925,0.0010925
57,102.728,1.20251,1.17253,1.10374,0.99694,1,0.995,0.60064,1.38696,0.99558,1.17602,0.001076,0.001076,0.001076
58,104.133,1.45704,1.28275,1.19354,0.99694,1,0.995,0.60064,1.38696,0.99558,1.17602,0.0010595,0.0010595,0.0010595
59,105.519,1.19803,1.00098,1.08522,0.99694,1,0.995,0.60064,1.38696,0.99558,1.17602,0.001043,0.001043,0.001043
60,106.965,1.33442,1.10241,1.10813,1,0.99205,0.995,0.57313,1.47102,1.02422,1.21555,0.0010265,0.0010265,0.0010265
61,108.126,1.37916,1.10354,1.11028,1,0.99205,0.995,0.57313,1.47102,1.02422,1.21555,0.00101,0.00101,0.00101
62,109.395,1.22936,0.97492,1.08884,1,0.99205,0.995,0.57313,1.47102,1.02422,1.21555,0.0009935,0.0009935,0.0009935
63,110.724,1.14915,1.03263,1.02836,1,0.99254,0.995,0.62212,1.4486,0.98426,1.16196,0.000977,0.000977,0.000977
64,112.101,1.1543,1.02296,1.05157,1,0.99254,0.995,0.62212,1.4486,0.98426,1.16196,0.0009605,0.0009605,0.0009605
65,113.516,1.15951,1.04609,1.02699,0.98473,1,0.995,0.6049,1.38982,0.99666,1.10787,0.000944,0.000944,0.000944
66,114.862,1.15844,1.14567,1.04724,0.98473,1,0.995,0.6049,1.38982,0.99666,1.10787,0.0009275,0.0009275,0.0009275
67,116.244,1.26909,1.08958,1.12163,0.98473,1,0.995,0.6049,1.38982,0.99666,1.10787,0.000911,0.000911,0.000911
68,117.759,1.19292,1.09465,1.05697,0.97809,1,0.995,0.5886,1.39352,0.98359,1.09947,0.0008945,0.0008945,0.0008945
69,119.052,1.1476,0.95355,1.01354,0.97809,1,0.995,0.5886,1.39352,0.98359,1.09947,0.000878,0.000878,0.000878
70,120.459,1.25157,1.02851,1.04995,0.97809,1,0.995,0.5886,1.39352,0.98359,1.09947,0.0008615,0.0008615,0.0008615
71,121.926,1.08107,1.02572,1.00427,0.9902,1,0.995,0.60568,1.46873,0.98438,1.14137,0.000845,0.000845,0.000845
72,123.408,1.19839,1.00452,1.01717,0.9902,1,0.995,0.60568,1.46873,0.98438,1.14137,0.0008285,0.0008285,0.0008285
73,124.902,1.06154,1.03555,1.01213,0.98481,1,0.995,0.60035,1.47465,0.95374,1.1511,0.000812,0.000812,0.000812
74,126.349,1.13303,1.01746,1.0103,0.98481,1,0.995,0.60035,1.47465,0.95374,1.1511,0.0007955,0.0007955,0.0007955
75,127.902,1.24884,0.96826,1.00742,0.98481,1,0.995,0.60035,1.47465,0.95374,1.1511,0.000779,0.000779,0.000779
76,129.452,1.27716,0.9808,1.02698,0.99173,1,0.995,0.62865,1.39395,0.90778,1.14438,0.0007625,0.0007625,0.0007625
77,130.898,1.1695,0.89132,1.01238,0.99173,1,0.995,0.62865,1.39395,0.90778,1.14438,0.000746,0.000746,0.000746
78,132.291,1.1224,1.12539,1.0524,0.99173,1,0.995,0.62865,1.39395,0.90778,1.14438,0.0007295,0.0007295,0.0007295
79,133.714,1.15475,0.90849,0.9807,0.9989,1,0.995,0.62064,1.43015,0.90456,1.15706,0.000713,0.000713,0.000713
80,135.227,1.11082,0.87718,0.95199,0.9989,1,0.995,0.62064,1.43015,0.90456,1.15706,0.0006965,0.0006965,0.0006965
81,136.748,0.99822,0.89534,0.95022,0.99608,1,0.995,0.59749,1.47787,0.94519,1.17509,0.00068,0.00068,0.00068
82,138.293,1.00693,0.89093,0.95661,0.99608,1,0.995,0.59749,1.47787,0.94519,1.17509,0.0006635,0.0006635,0.0006635
