epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0599,1.12434,0.84291,0.98826,0.95973,0.96875,0.98852,0.71771,1.27135,0.83728,1.08147,0.00016,0.00016,0.00016
2,22.2947,1.09012,0.75289,0.96616,0.91447,0.98438,0.98769,0.72886,1.25406,0.88843,1.04971,0.000337195,0.000337195,0.000337195
3,25.0382,1.11394,0.78211,0.95548,0.93764,0.94531,0.98175,0.71551,1.26333,0.8822,1.0566,0.00051142,0.00051142,0.00051142
4,27.7072,1.0982,0.71754,0.98431,0.93321,0.9824,0.98674,0.67512,1.38301,0.87189,1.07775,0.000682675,0.000682675,0.000682675
5,30.2628,1.07075,0.78818,0.9773,0.96027,0.99219,0.9924,0.7128,1.32863,0.80666,1.04964,0.00085096,0.00085096,0.00085096
6,32.9542,1.13424,0.78046,0.94307,0.98279,0.97656,0.99174,0.63038,1.53792,0.81542,1.11757,0.00101627,0.00101627,0.00101627
7,35.5685,1.07938,0.75169,0.93073,0.94385,1,0.99229,0.69564,1.35926,0.8322,1.06264,0.00117862,0.00117862,0.00117862
8,38.1663,1.09507,0.74018,0.94881,0.91247,0.97736,0.9878,0.62458,1.48837,0.91868,1.0859,0.001338,0.001338,0.001338
9,40.7254,1.16976,0.78976,0.98824,0.93995,1,0.98235,0.68228,1.42078,1.0037,1.0719,0.0014944,0.0014944,0.0014944
10,43.4086,1.27126,0.80361,1.01978,0.94048,1,0.97243,0.61499,1.56651,1.14881,1.1486,0.00164784,0.00164784,0.00164784
11,46.219,1.32411,0.87013,0.9993,0.93808,0.99219,0.9829,0.67155,1.3353,0.95177,1.0517,0.0017983,0.0017983,0.0017983
12,48.9089,1.20979,0.80073,0.98784,0.88607,0.97215,0.98009,0.62467,1.46093,0.95957,1.09744,0.0018185,0.0018185,0.0018185
13,51.761,1.16631,0.81455,0.9938,0.93922,1,0.97071,0.68621,1.34727,0.90355,1.05744,0.001802,0.001802,0.001802
